priority,url,source,what_to_verify,as_published_in_the_report,checked_2026_09_01
P2,http://lakeseymourlodge.com/,rental (Northeast) — Seymour Lake Lodge — take all 7 rooms and 3 apartments [book direct],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",10 BR / sleeps 24 · ~$95–155/room/night; whole-lodge rate on request · buyout,
P2,https://www.vrbo.com/vacation-rentals/usa/new-hampshire/madison/silver-lake,rental (Northeast) — Silver Lake — no 7+ BR rental found [VRBO (Silver Lake listings)],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",5 BR / sleeps 12 · largest found: 5 BR / sleeps 12 · single,
P3,https://dnr.wisconsin.gov/sites/default/files/topic/Watersheds/PikeChainFMP20150327.pdf,"DNR Fishery Management Plan — Pike Chain, Price Co.","Confirm Round Lake (Price) at 726 ac / 24 ft, low clarity, ~30 ug/L phosphorus.",Basis for demoting Moose Jaw to a program-not-water buy.,
P3,http://underwaterfishphotos.blogspot.com/2020/05/what-are-clearest-lakes-in-wisconsin.html,Engbretson — clearest lakes in Wisconsin,Independent cross-check on Wisconsin clarity rankings.,Not cited in the report; useful as a second opinion.,
P3,https://lyontwp-higginsmi.gov/wp-content/uploads/2022/05/2020-Higgins-Lake-Study.pdf,Higgins Lake Improvement Study (2020),Confirm Secchi 28.5–29.5 ft over the deep basins.,Higgins clarity claim.,
P3,https://dnr.wisconsin.gov/topic/lakes/clmn/remotesensing/faq.html,WI DNR Citizen Lake Monitoring Network,The lookup tool for any Wisconsin lake's clarity record — use it to spot-check the whole dataset.,Named as a source in the appendix.,
P3,https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=1630100,WI DNR lake page — Black Oak Lake,"Confirm 564 ac, 85 ft max, clarity classification.",Tier-2 clarity claim.,
P3,https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=2331600,WI DNR lake page — Trout Lake,"Confirm 3,816 ac, 117 ft max, clarity classification.",The archetype's stats.,
P3,https://apps.dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=2391200&page=waterquality,WI DNR water-quality page — Grindstone Lake,"The primary Secchi record. Reconcile 23 ft (volunteer, 1993-2005) with 19 ft / 11-33 ft range (DNR).",The single most load-bearing water claim in the report.,
P3,https://leelanauconservancy.org/wp-content/uploads/2012/01/Secchi_meanMinMax_allLakes_allyears.pdf,lake data — Big Glen Lake,Confirm the water-quality / size figures cited.,"Big Glen Secchi just over 19 ft (min/max/mean by lake, all years).",
P3,https://en.wikipedia.org/wiki/Glen_Lake,lake data — Big Glen Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://vilaswi.com/lake-river/big-muskellunge-lake/,lake data — Big Muskellunge Lake,Confirm the water-quality / size figures cited.,"Vilas County lake stats (acreage, depth) and NHAL State Forest at 236,000 ac.",
P3,https://en.wikipedia.org/wiki/Big_Muskellunge_Lake,lake data — Big Muskellunge Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.islands.com/1999520/black-oak-lake-wisconsin-cleanest-lake-crystal-clear-scenic-day-trip-getaway/,lake data — Black Oak Lake,Confirm the water-quality / size figures cited.,Black Oak Lake described as Wisconsin's cleanest; Secchi 25–30 ft.,
P3,https://watershedcouncil.org/waterbody/burt/,lake data — Burt Lake,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,https://en.wikipedia.org/wiki/Burt_Lake,lake data — Burt Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://chicaugonlake.weebly.com/,lake data — Chicaugon Lake,Confirm the water-quality / size figures cited.,"Chicaugon 1,100 ac, 115 ft max, improving Secchi trend.",
P3,https://dnr.wisconsin.gov/topic/lands/chippewaflowage,lake data — Chippewa Flowage,Confirm the water-quality / size figures cited.,"Turtle–Flambeau 12,942 ac / seventh-largest / Scenic Waters; Chippewa Flowage; Willow Flowage 6,306 ac / 30 ft; NR 115 shoreland standards.",
P3,https://explorewesternup.com/things-to-do/cisco-chain-of-lakes/,lake data — Cisco Chain of Lakes,Confirm the water-quality / size figures cited.,"Cisco Chain: 15 lakes, 4,025 ac, 270 mi of shoreline.",
P3,https://en.wikipedia.org/wiki/Mamie_Lake_(Wisconsin),lake data — Cisco Chain of Lakes,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://watershedcouncil.org/watersheds/burt-lake-watershed/,lake data — Crooked & Pickerel Lakes,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,https://watershedcouncil.org/,lake data — Crooked & Pickerel Lakes,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,https://crystallakewatershed.org/watershed-facts/,lake data — Crystal Lake,Confirm the water-quality / size figures cited.,"Crystal Lake 9,854 ac, 165 ft max, 70 ft mean, 21 mi shoreline.",
P3,"https://en.wikipedia.org/wiki/Crystal_Lake_(Benzie_County,_Michigan)",lake data — Crystal Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://watershedcouncil.org/waterbody/douglas-lake-cheboygan-county/,lake data — Douglas Lake,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,"https://en.wikipedia.org/wiki/Douglas_Lake_(Cheboygan_County,_Michigan)",lake data — Douglas Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Elk_Lake_(Michigan),lake data — Elk Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Flambeau_Lake,lake data — Fence Lake (Lac du Flambeau chain),Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Grand_Lake_(Michigan),lake data — Grand Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://grindstonelake.org/the-lake/,lake data — Grindstone Lake,Confirm the water-quality / size figures cited.,"Secchi averaged 23 ft, 1993–2005; 3,176 ac; 60 ft max; 10.5 mi shoreline. This is the single most load-bearing water-quality claim in the report.","CONFIRMED: 23 ft Secchi averaged 1993-2005, oligotrophic. DNR fishery plan gives 19 ft (range 11-33) and 3,117 ac vs 3,176 elsewhere — both now stated in the report."
P3,https://en.wikipedia.org/wiki/Grindstone_Lake_(Wisconsin),lake data — Grindstone Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.higginslake-foundation.org/protect/water-testing/,lake data — Higgins Lake,Confirm the water-quality / size figures cited.,Higgins Lake CLMP transparency readings.,
P3,https://hlpoa.org/studies-surveys-general-water-quality/,lake data — Higgins Lake,Confirm the water-quality / size figures cited.,Higgins Lake Secchi 28.5–35 ft across basins.,
P3,https://en.wikipedia.org/wiki/Higgins_Lake,lake data — Higgins Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.visitalpena.com/visit-alpena/hubbard-lake/,lake data — Hubbard Lake,Confirm the water-quality / size figures cited.,"Hubbard Lake 8,850 ac / 97.5 ft / Secchi ~12 ft.",
P3,https://en.wikipedia.org/wiki/Hubbard_Lake,lake data — Hubbard Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.visitalpena.com/quick-guide-inland-fishing-alpena/,lake data — Hubbard Lake,Confirm the water-quality / size figures cited.,"Hubbard Lake 8,850 ac / 97.5 ft / Secchi ~12 ft.",
P3,https://en.wikipedia.org/wiki/Lake_Skegemog,lake data — Intermediate Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://haywardlakes.com/activities/lakes/,lake data — Lac Courte Oreilles,Confirm the water-quality / size figures cited.,"Lac Courte Oreilles 5,039 ac / 90 ft / 25.4 mi; Chippewa Flowage 15,300 ac / 92 ft / 140 islands / 200+ mi shoreline.",
P3,https://en.wikipedia.org/wiki/Lac_Courte_Oreilles,lake data — Lac Courte Oreilles,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Lake_Gogebic,lake data — Lake Gogebic,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Lake_Independence_(Michigan),lake data — Lake Independence,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://lakeleelanau.org/wake-boats/,lake data — Lake Leelanau (N & S),Confirm the water-quality / size figures cited.,Lake Leelanau Association position on 500-ft wake-boat setbacks.,
P3,https://en.wikipedia.org/wiki/Lake_Leelanau,lake data — Lake Leelanau (N & S),Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Lake_Michigamme,lake data — Lake Michigamme,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Lake_Namakagon,lake data — Lake Namakagon,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.lake-link.com/wisconsin-lakes/oneida-county/tomahawk-lake/3444/,lake data — Lake Tomahawk,Confirm the water-quality / size figures cited.,"Per-lake acreage, depth and DNR clarity classification.",
P3,https://en.wikipedia.org/wiki/Tomahawk_Lake_(Wisconsin),lake data — Lake Tomahawk,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.uptravel.com/places-to-visit/islands/les-cheneaux/,lake data — Les Cheneaux Islands,Confirm the water-quality / size figures cited.,"Les Cheneaux: 36 islands, sheltered Lake Huron channels.",
P3,"https://en.wikipedia.org/wiki/Long_Lake_(Grand_Traverse_County,_Michigan)",lake data — Long Lake (Grand Traverse),Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://watershedcouncil.org/waterbody/mullett-lake/,lake data — Mullett Lake,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,https://en.wikipedia.org/wiki/Mullett_Lake,lake data — Mullett Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://vilaswi.com/lake-river/north-twin-lake/,lake data — North Twin Lake,Confirm the water-quality / size figures cited.,"Vilas County lake stats (acreage, depth) and NHAL State Forest at 236,000 ac.",
P3,"https://en.wikipedia.org/wiki/North_Twin_Lake_(Phelps,_Wisconsin)",lake data — North Twin Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Gile_Flowage,lake data — Pike Lake Chain,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.starlake.org/topic/plum,lake data — Plum Lake,Confirm the water-quality / size figures cited.,"Plum Lake 1,057 ac / 57 ft; Star Lake 1,206 ac / 68 ft.",
P3,https://en.wikipedia.org/wiki/Plum_Lake_(Wisconsin),lake data — Plum Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Presque_Isle_Lake,lake data — Presque Isle Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Round_Lake_(Wisconsin),lake data — Round Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://en.wikipedia.org/wiki/Squirrel_Lake,lake data — Squirrel Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,"https://en.wikipedia.org/wiki/Star_Lake_(Vilas_County,_Wisconsin)",lake data — Star Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://vilaswi.com/your-guide-to-the-northern-highland-american-legion-state-forest/,lake data — Trout Lake (the archetype),Confirm the water-quality / size figures cited.,"Vilas County lake stats (acreage, depth) and NHAL State Forest at 236,000 ac.",
P3,https://dnr.wisconsin.gov/topic/Lands/TurtleFlambeau/history.html,lake data — Turtle–Flambeau Flowage,Confirm the water-quality / size figures cited.,"Turtle–Flambeau 12,942 ac / seventh-largest / Scenic Waters; Chippewa Flowage; Willow Flowage 6,306 ac / 30 ft; NR 115 shoreland standards.",
P3,https://en.wikipedia.org/wiki/Turtle-Flambeau_Flowage,lake data — Turtle–Flambeau Flowage,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://watershedcouncil.org/waterbody/walloon-lake/,lake data — Walloon Lake,Confirm the water-quality / size figures cited.,"Burt 17,436 ac/73 ft; Mullett 16,630 ac/145 ft; Douglas 3,727 ac/80 ft, Secchi 10–14 ft and 'borders on oligotrophy'; Walloon oligotrophic, 20+ ft visibility.",
P3,https://en.wikipedia.org/wiki/Walloon_Lake,lake data — Walloon Lake,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://dnr.wisconsin.gov/topic/lands/willowflowage,lake data — Willow Flowage,Confirm the water-quality / size figures cited.,"Turtle–Flambeau 12,942 ac / seventh-largest / Scenic Waters; Chippewa Flowage; Willow Flowage 6,306 ac / 30 ft; NR 115 shoreland standards.",
P3,https://en.wikipedia.org/wiki/Willow_Reservoir,lake data — Willow Flowage,Confirm the water-quality / size figures cited.,Per-lake acreage and maximum depth used throughout the dataset.,
P3,https://www.lakequality.org/best/cleanest/mi,lakequality.org — cleanest MI lakes,Confirm Higgins basin readings (34–35 ft) and the Michigan clarity ranking.,Supports the Higgins clarity claim.,
P3,https://www.lakequality.org/ranking/clearest/wi,lakequality.org — clearest WI lakes,"Confirm Black Oak 28.5 ft and Lake Owen 24.6 ft Secchi, both graded A.",Two Tier-1/Tier-2 clarity claims rest on this.,
P4,"https://www.travelmath.com/driving-time/from/Minocqua,+WI/to/Chicago,+IL",Chicago–Minocqua drive time,The single calibration point for every drive estimate on the map (342 mi / ~5:12). Worth re-deriving a few others directly.,All other drive times are my interpolations from this rate.,
